filename,width,height,class,xmin,ymin,xmax,ymax
e1e5babdbdbbd5e496d8537890de0fd3_jpg.rf.013d6d98b5088b5d4a025ea466769dbc.jpg,640,640,book,83,111,155,569
e1e5babdbdbbd5e496d8537890de0fd3_jpg.rf.013d6d98b5088b5d4a025ea466769dbc.jpg,640,640,book,172,203,224,557
e1e5babdbdbbd5e496d8537890de0fd3_jpg.rf.013d6d98b5088b5d4a025ea466769dbc.jpg,640,640,book,237,204,279,555
e1e5babdbdbbd5e496d8537890de0fd3_jpg.rf.013d6d98b5088b5d4a025ea466769dbc.jpg,640,640,book,286,249,369,546
e1e5babdbdbbd5e496d8537890de0fd3_jpg.rf.013d6d98b5088b5d4a025ea466769dbc.jpg,640,640,book,367,155,419,558
e1e5babdbdbbd5e496d8537890de0fd3_jpg.rf.013d6d98b5088b5d4a025ea466769dbc.jpg,640,640,book,411,186,473,561
e1e5babdbdbbd5e496d8537890de0fd3_jpg.rf.013d6d98b5088b5d4a025ea466769dbc.jpg,640,640,book,463,203,516,558
e1e5babdbdbbd5e496d8537890de0fd3_jpg.rf.013d6d98b5088b5d4a025ea466769dbc.jpg,640,640,book,505,216,558,558
f5610d16e2a80cf9d967a8d09b5e71c9_jpg.rf.039f52b708381175fb3bce1d434e1203.jpg,640,640,book,0,340,240,514
f5610d16e2a80cf9d967a8d09b5e71c9_jpg.rf.039f52b708381175fb3bce1d434e1203.jpg,640,640,book,1,298,246,436
f5610d16e2a80cf9d967a8d09b5e71c9_jpg.rf.039f52b708381175fb3bce1d434e1203.jpg,640,640,book,1,262,272,372
f5610d16e2a80cf9d967a8d09b5e71c9_jpg.rf.039f52b708381175fb3bce1d434e1203.jpg,640,640,book,1,226,280,322
f5610d16e2a80cf9d967a8d09b5e71c9_jpg.rf.039f52b708381175fb3bce1d434e1203.jpg,640,640,book,0,173,275,279
f8a9769d72b626b693a4471549795405_jpg.rf.02dffe2a6ed13ba9db243ccc2d9e8390.jpg,640,640,plants,180,115,639,318
f8a9769d72b626b693a4471549795405_jpg.rf.02dffe2a6ed13ba9db243ccc2d9e8390.jpg,640,640,book,231,444,494,513
f8a9769d72b626b693a4471549795405_jpg.rf.02dffe2a6ed13ba9db243ccc2d9e8390.jpg,640,640,book,233,422,489,485
f8a9769d72b626b693a4471549795405_jpg.rf.02dffe2a6ed13ba9db243ccc2d9e8390.jpg,640,640,book,239,403,484,459
f8a9769d72b626b693a4471549795405_jpg.rf.02dffe2a6ed13ba9db243ccc2d9e8390.jpg,640,640,book,247,377,490,433
f8a9769d72b626b693a4471549795405_jpg.rf.02dffe2a6ed13ba9db243ccc2d9e8390.jpg,640,640,book,253,358,498,407
5e7b199516ec292e0789e57f8c792822_jpg.rf.0531f4d1e9a77c5f896479b8705c9c11.jpg,640,640,book,137,219,531,277
5e7b199516ec292e0789e57f8c792822_jpg.rf.0531f4d1e9a77c5f896479b8705c9c11.jpg,640,640,book,109,273,546,352
5e7b199516ec292e0789e57f8c792822_jpg.rf.0531f4d1e9a77c5f896479b8705c9c11.jpg,640,640,book,96,351,557,385
5e7b199516ec292e0789e57f8c792822_jpg.rf.0531f4d1e9a77c5f896479b8705c9c11.jpg,640,640,book,79,389,575,467
5e7b199516ec292e0789e57f8c792822_jpg.rf.0531f4d1e9a77c5f896479b8705c9c11.jpg,640,640,book,63,470,586,516
5e7b199516ec292e0789e57f8c792822_jpg.rf.0531f4d1e9a77c5f896479b8705c9c11.jpg,640,640,book,60,515,591,586
b7b152ea892e5a80ccacc35f9eec5bb8_jpg.rf.023a4d42878d3ac332e627b776c54a9b.jpg,640,640,book,18,0,57,172
b7b152ea892e5a80ccacc35f9eec5bb8_jpg.rf.023a4d42878d3ac332e627b776c54a9b.jpg,640,640,book,61,1,101,173
